Код	"маркет bid"	"маркет cbid"	Кластер
42814	36	36	000
22208	36	36	000
25514	16	16	000
59157	36	36	000
63009	31	31	000
23347	35	35	000
63496	27	27	000
25798	35	35	000
54187	36	36	000
22206	36	36	000
3645	37	37	000
45200	29	29	000
25958	91	91	000
12471	37	37	000
800050	36	36	000
64340	30	30	000
68756	30	30	000
67419	32	32	000
37372	36	36	000
23063	37	37	000
32116	36	36	000
59011	39	39	000
56845	36	36	000
61801	38	38	000
23635	95	95	000
61355	34	34	000
63035	36	36	000
22260	29	29	000
56919	37	37	000
59398	37	37	000
25159	35	35	000
59588	37	37	000
60531	62	62	000
50436	37	37	000
55024	37	37	000
44880	37	37	000
68505	35	35	000
23434	42	42	000
22263	28	28	000
61257	37	37	000
6463	37	37	000
24670	37	37	000
23357	38	38	000
25824	37	37	000
58426	37	37	000
25467	37	37	000
21206	37	37	000
24657	37	37	000
21573	12	12	000
19105	37	37	000
46639	37	37	000
25264	37	37	000
21144	37	37	000
18446	36	36	000
12599	27	27	000
19255	37	37	000
58137	37	37	000
56825	93	93	000
54188	37	37	000
56043	37	37	000
20895	40	40	000
22214	37	37	000
22204	37	37	000
23022	93	93	000
68774	13	13	000
10746	39	39	000
28065	37	37	000
6479	37	37	000
23596	38	38	000
61322	38	38	000
28784	38	38	000
65506	37	37	000
22373	42	42	000
25151	37	37	000
22355	38	38	000
22360	40	40	000
56169	38	38	000
59390	38	38	000
23681	34	34	000
18313	38	38	000
19164	38	38	000
63017	37	37	000
23682	34	34	000
59371	38	38	000
63953	63	63	000
63954	62	62	000
63952	63	63	000
63955	62	62	000
67775	66	66	000
67776	66	66	000
59372	38	38	000
21124	59	59	000
58441	38	38	000
24664	93	93	000
56168	38	38	000
36818	38	38	000
25141	38	38	000
5426	40	40	000
25765	38	38	000
12515	38	38	000
23604	38	38	000
36347	38	38	000
34234	38	38	000
68629	40	40	000
62253	38	38	000
59647	46	46	000
23532	38	38	000
55045	40	40	000
63038	38	38	000
57851	40	40	000
58721	38	38	000
23519	38	38	000
23549	38	38	000
65869	38	38	000
22289	38	38	000
58640	38	38	000
55544	29	29	000
55995	38	38	000
62314	42	42	000
52342	39	39	000
22231	39	39	000
57146	37	37	000
25638	52	52	000
25801	39	39	000
25461	38	38	000
10977	39	39	000
2093	39	39	000
12604	39	39	000
25035	98	98	000
62792	39	39	000
62222	31	31	000
37979	39	39	000
62111	44	44	000
22296	38	38	000
58672	39	39	000
62230	41	41	000
26216	39	39	000
61840	42	42	000
22207	36	36	000
25740	39	39	000
21130	95	95	000
21113	36	36	000
21114	97	97	000
59263	38	38	000
10748	39	39	000
24684	39	39	000
23433	42	42	000
52415	30	30	000
25706	31	31	000
25796	39	39	000
43836	39	39	000
58397	40	40	000
60109	97	97	000
25158	39	39	000
23552	36	36	000
18237	39	39	000
21877	39	39	000
23613	40	40	000
20896	40	40	000
13107	40	40	000
13108	40	40	000
22254	41	41	000
23054	40	40	000
55855	42	42	000
23068	98	98	000
60051	39	39	000
21108	38	38	000
24677	40	40	000
61843	40	40	000
23079	95	95	000
47339	40	40	000
30652	40	40	000
35920	40	40	000
59359	40	40	000
21327	40	40	000
